Year,Rank,Company,Revenue,Profit
1977.0,,Exxon Mobil,48630.8,2641.0
1977.0,,General Motors,47181.0,2902.8
1977.0,,Ford Motor,28839.6,983.1
1977.0,,Texaco,26451.9,869.7
1977.0,,Mobil,26062.6,942.5
1977.0,,ChevronTexaco,19434.1,880.1
1977.0,,Gulf Oil,16451.0,816.0
1977.0,,Intl. Business Machines,16304.3,2398.1
1977.0,,General Electric,15697.3,930.6
1977.0,,Chrysler,15537.8,422.6
1977.0,,ITT Industries,11764.1,494.5
1977.0,,Amoco,11532.0,893.0
1977.0,,U.S. Steel,8604.2,410.3
1977.0,,Atlantic Richfield,8462.5,575.2
1977.0,,DuPont,8361.0,459.3
1977.0,,AT&T Technologies,6930.9,217.4
1977.0,,Procter & Gamble,6512.7,401.1
1977.0,,CBS,6145.2,223.2
1977.0,,Goodyear Tire & Rubber,5791.5,122.0
1977.0,,ConocoPhillips,5697.5,411.7
1977.0,,Dow Chemical,5652.1,612.8
1977.0,,Navistar International,5488.1,174.1
1977.0,,Eastman Kodak,5438.2,650.6
1977.0,,Sunoco,5387.1,356.2
1977.0,,Unocal,5350.7,268.8
1977.0,,RCA,5328.5,177.4
1977.0,,Esmark,5300.6,82.5
1977.0,,Bethlehem Steel,5248.0,168.0
1977.0,,Rockwell Automation,5220.1,123.4
1977.0,,United Technologies,5166.3,157.4
1977.0,,Caterpillar,5042.3,383.2
1977.0,,Kraft,4976.6,135.7
1977.0,,Beatrice,4690.6,153.1
1977.0,,LTV,4496.9,30.7
1977.0,,Xerox,4403.9,358.9
1977.0,,Nabisco Group Holdings,4291.1,353.9
1977.0,,Monsanto,4270.2,366.3
1977.0,,General Foods,3978.3,150.4
1977.0,,Citgo Petroleum,3964.6,217.0
1977.0,,Firestone Tire & Rubber,3939.1,96.0
1977.0,,Boeing,3918.5,102.9
1977.0,,Amerada Hess,3914.6,152.6
1977.0,,Greyhound,3727.3,77.1
1977.0,,Sealed Air,3615.2,131.9
1977.0,,McDonnell Douglas,3543.7,108.9
1977.0,,International Paper,3540.6,253.6
1977.0,,3M,3514.3,338.5
1977.0,,Colgate-Palmolive,3511.5,149.2
1977.0,,Marathon Oil,3488.4,195.8
1977.0,,Continental Group,3458.2,118.3
1977.0,,Gulf & Western Industries,3395.6,200.2
1977.0,,Ralston Purina,3393.8,125.9
1977.0,,Borden Chemical,3381.1,112.8
1977.0,,Litton Industries,3365.4,28.3
1977.0,,Lockheed Martin,3202.7,38.7
1977.0,,Sperry,3202.6,145.3
1977.0,,ARMCO,3151.0,123.7
1977.0,,American Can,3142.5,100.9
1977.0,,Altria Group,3134.5,265.7
1977.0,,Deere,3133.8,241.6
1977.0,,Getty Oil,3058.7,258.5
1977.0,,Georgia-Pacific,3038.0,215.3
1977.0,,Coca-Cola,3032.8,285.0
1977.0,,Bendix,2947.0,104.7
1977.0,,TRW,2929.0,133.1
1977.0,,Alcoa,2924.4,143.8
1977.0,,BP America,2916.4,136.9
1977.0,,Champion International,2910.5,103.1
1977.0,,Weyerhaeuser,2868.4,306.0
1977.0,,National Intergroup,2840.5,85.7
1977.0,,PepsiCo,2727.5,136.0
1977.0,,Sara Lee,2726.5,89.5
1977.0,,Bestfoods,2695.8,122.0
1977.0,,Fortune Brands,2671.6,122.0
1977.0,,General Mills,2645.0,100.5
1977.0,,Honeywell Intl.,2629.6,116.8
1977.0,,Textron,2627.2,121.1
1977.0,,Owens-Illinois,2571.7,178.3
1977.0,,General Dynamics,2553.5,99.6
1977.0,,Republic Steel,2545.6,65.9
1977.0,,Johnson & Johnson,2522.5,205.4
1977.0,,Honeywell,2495.3,113.1
1977.0,,Wyeth,2471.7,277.9
1977.0,,Raytheon,2462.8,85.2
1977.0,,Signal Companies,2451.6,64.8
1977.0,,Ryerson Tull,2388.2,104.0
1977.0,,Warner-Lambert,2349.2,159.7
1977.0,,American Motors,2315.5,-46.3
1977.0,,Uniroyal,2314.8,20.1
1977.0,,NCR,2312.7,95.6
1977.0,,FMC,2298.4,80.2
1977.0,,Burlington Industries Equity,2284.6,104.9
1977.0,,Chiquita Brands Intl.,2276.6,16.3
1977.0,,PPG Industries,2254.8,151.5
1977.0,,Dresser Industries,2232.2,156.8
1977.0,,CBS,2230.6,164.0
1977.0,,Carnation,2167.0,104.4
1977.0,,Crown Zellerbach,2126.0,97.6
1977.0,,Singer,2125.5,74.2
1977.0,,Celanese,2123.0,69.0
1977.0,,American Cyanamid,2093.8,135.8
1977.0,,Reynolds Metals,2084.4,75.1
1977.0,,Iowa Beef Processors,2077.2,28.8
1977.0,,Nabisco Brands,2027.3,77.0
1977.0,,GenCorp,2022.5,104.7
1977.0,,Goodrich,1996.0,15.8
1977.0,,Bristol-Myers Squibb,1986.4,156.8
1977.0,,Kerr-McGee,1955.1,134.1
1977.0,,Teledyne,1937.6,134.9
1977.0,,OfficeMax,1931.5,100.8
1977.0,,Ingersoll-Rand,1921.6,106.9
1977.0,,Pfizer,1887.5,159.9
1977.0,,H.J. Heinz,1882.4,74.0
1977.0,,Unisys,1870.8,185.9
1977.0,,BorgWarner,1862.4,81.7
1977.0,,Kaisertech,1851.9,44.5
1977.0,,Farmland Industries,1840.4,
1977.0,,Central Soya,1836.8,37.7
1977.0,,Combustion Engineering,1830.9,54.2
1977.0,,Standard Brands,1810.0,67.6
1977.0,,Eaton,1808.1,90.9
1977.0,,North American Philips,1723.6,60.2
1977.0,,Babcock & Wilcox,1691.8,53.1
1977.0,,Whitman,1688.5,60.8
1977.0,,Norton Simon,1683.8,92.4
1977.0,,Merck,1661.5,255.5
1977.0,,Texas Instruments,1658.6,97.4
1977.0,,American Standard,1654.2,70.9
1977.0,,St. Regis,1642.1,91.3
1977.0,,Campbell Soup,1634.8,101.0
1977.0,,Associated Milk Producers,1623.3,
1977.0,,Archer Daniels Midland,1620.8,65.1
1977.0,,Whirlpool,1620.4,76.3
1977.0,,Lykes,1619.7,19.1
1977.0,,Mead,1599.3,88.8
1977.0,,Hercules,1596.0,106.8
1977.0,,Kimberly-Clark,1585.3,121.3
1977.0,,Fruit of the Loom,1568.9,117.6
1977.0,,Ogden,1557.5,48.3
1977.0,,Allis-Chalmers,1519.3,58.7
1977.0,,Emerson Electric,1505.0,116.8
1977.0,,Grumman,1502.1,27.2
1977.0,,Motorola,1494.1,85.4
1977.0,,Gillette,1491.5,77.6
1977.0,,Anaconda,1481.1,16.7
1977.0,,Dart Industries,1476.2,101.6
1977.0,,Fruehauf,1473.3,48.3
1977.0,,Quaker Oats,1473.1,53.1
1977.0,,Dana,1444.4,89.2
1977.0,,Anheuser-Busch,1441.1,55.4
1977.0,,Avon Products,1434.4,168.4
1977.0,,Del Monte Foods,1430.4,53.2
1977.0,,Pillsbury,1421.9,41.6
1977.0,,J.P. Stevens,1421.4,41.1
1977.0,,Brink's,1415.5,146.4
1977.0,,Agway,1415.4,
1977.0,,Kellogg,1385.4,130.4
1977.0,,Olin,1376.5,72.6
1977.0,,Furniture Brands Intl.,1376.4,67.0
1977.0,,Scott Paper,1373.8,73.2
1977.0,,Maxus Energy,1356.6,140.0
1977.0,,White Motor,1355.1,21.7
1977.0,,U.S. Industries,1346.7,28.1
1977.0,,American Broadcasting,1342.2,71.7
1977.0,,Eli Lilly,1340.6,200.2
1977.0,,Safety-Kleen,1331.9,30.4
1977.0,,Control Data,1331.0,48.6
1977.0,,Manville,1308.8,53.4
1977.0,,NL Industries,1285.5,58.8
1977.0,,Heublein,1282.5,73.1
1977.0,,Walter Industries,1271.9,71.0
1977.0,,Coltec Industries,1266.5,61.6
1977.0,,Northrop Grumman,1265.0,36.3
1977.0,,Clark Equipment,1261.0,68.1
1977.0,,Imcera Group,1260.0,135.4
1977.0,,White Consolidated Industries,1248.1,51.5
1977.0,,Land O'Lakes,1241.6,
1977.0,,Kidde,1233.0,61.5
1977.0,,Gould,1225.4,66.0
1977.0,,Levi Strauss,1219.7,104.8
1977.0,,Studebaker-Worthington,1216.6,50.2
1977.0,,Squibb,1214.5,108.2
1977.0,,Martin Marietta,1213.1,78.5
1977.0,,Koppers,1189.2,66.8
1977.0,,AMAX,1170.5,150.1
1977.0,,Charter,1157.8,16.9
1977.0,,Quantum Chemical,1156.4,90.3
1977.0,,Ethyl,1154.2,69.1
1977.0,,Rohm & Haas,1152.5,-11.8
1977.0,,Genesco,1135.1,15.9
1977.0,,Oscar Mayer,1133.1,33.4
1977.0,,Amstar,1118.5,43.4
1977.0,,Carrier,1111.9,34.7
1977.0,,Hewlett-Packard,1111.6,90.8
1977.0,,AMF,1111.4,38.2
1977.0,,Emhart,1106.3,44.0
1977.0,,Asarco,1103.7,42.3
1977.0,,Stauffer Chemical,1100.0,113.0
1977.0,,Sterling Drug,1095.8,82.8
1977.0,,Hormel Foods,1094.8,14.7
1977.0,,United Merchants & Mfrs.,1089.2,-19.9
1977.0,,Crane,1087.6,48.0
1977.0,,Abbott Laboratories,1084.9,92.5
1977.0,,Owens Corning,1079.2,71.8
1977.0,,Commonwealth Oil Refining,1071.4,-32.1
1977.0,,FINA,1071.0,45.5
1977.0,,Tesoro,1070.1,28.8
1977.0,,Foster Wheeler,1061.7,20.5
1977.0,,Budd,1060.9,27.2
1977.0,,GAF,1060.5,19.7
1977.0,,Time Warner,1038.2,67.1
1977.0,,Cummins,1030.5,58.6
1977.0,,Corning,1025.9,83.7
1977.0,,Pharmacia,1025.5,77.6
1977.0,,Pennzoil,1021.4,167.7
1977.0,,Kaiser Industries,1015.9,66.7
1977.0,,Pet,1010.6,23.7
1977.0,,McGraw-Edison,1007.4,56.5
1977.0,,Union Camp,1003.0,118.6
1977.0,,Williams,1002.6,61.2
1977.0,,Paccar,1001.4,50.6
1977.0,,Jos. Schlitz Brewing,1000.0,49.9
1977.0,,Murphy Oil,986.4,48.9
1977.0,,Armstrong Holdings,981.2,64.7
1977.0,,Zenith Electronics,978.2,38.6
1977.0,,Times Mirror,964.8,69.5
1977.0,,USG,962.9,36.8
1977.0,,Kennecott,956.3,8.8
1977.0,,Revlon,955.6,81.5
1977.0,,Sunbeam/Oster,953.8,33.5
1977.0,,Container Corp. of America,953.3,64.1
1977.0,,Sherwin-Williams,952.0,18.4
1977.0,,Polaroid,950.0,79.7
1977.0,,Phelps Dodge,942.4,43.4
1977.0,,J.E. Seagram,939.8,32.2
1977.0,,Chromalloy American,937.3,28.1
1977.0,,Wheeling Pittsburgh,931.2,3.2
1977.0,,Allegheny International,929.3,7.0
1977.0,,Westvaco,922.4,56.8
1977.0,,National Can,916.9,20.7
1977.0,,Brunswick,914.9,41.7
1977.0,,Crown Holdings,909.9,46.2
1977.0,,Marmon Group,908.4,45.2
1977.0,,Castle & Cooke,905.0,37.9
1977.0,,Gold Kist Holdings,892.9,
1977.0,,Diamond International,887.1,49.9
1977.0,,Timken,884.4,60.9
1977.0,,Schering-Plough,871.5,157.1
1977.0,,Aeroquip-Vickers,871.5,58.9
1977.0,,Brown Shoe,854.3,21.0
1977.0,,Peabody Holding,849.0,30.8
1977.0,,Tosco,848.3,8.0
1977.0,,Great Northern Nekoosa,844.6,58.3
